yourlist:M2022030892C7BAECDB1C5C413EE0E0348724B682456919U	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P31800	P31800	QCR1_BOVIN	reviewed	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)	UQCRC1	Bos taurus (Bovine)	480
Q9RCF6	Q9RCF6	Q9RCF6_VIBCL	unreviewed	Fe2+-enterobactin ABC transporter substrate-binding protein (Iron-enterobactin transporter periplasmic binding protein) (Periplasmic binding protein)	viuP D6U24_13340 ERS013165_02595 ERS013186_02145 ERS013199_00569 ERS013202_00573 ERS013206_00558 ERS013207_01480	Vibrio cholerae	325
A0A0J7JFD7	A0A0J7JFD7	A0A0J7JFD7_9GAMM	unreviewed	Acetoin utilization deacetylase AcuC	Msub_13096	Marinobacter subterrani	343
O92972	O92972	POLG_HCVJ4	reviewed	Genome polyprotein [Cleaved into: Core protein precursor (Capsid protein C) (p23); Mature core protein (p21); Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); Viroporin p7; Protease NS2 (p23) (EC 3.4.22.-) (Non-structural protein 2) (NS2); Serine protease/helicase NS3 (EC 3.4.21.98) (EC 3.6.1.15) (EC 3.6.4.13) (Hepacivirin) (NS3 helicase) (NS3 protease) (NS3P) (Viroporin p70); Non-structural protein 4A (NS4A) (p8); Non-structural protein 4B (NS4B) (p27); Non-structural protein 5A (NS5A) (p56/58); RNA-directed RNA polymerase (EC 2.7.7.48) (NS5B) (p68)]		Hepatitis C virus genotype 1b (strain HC-J4) (HCV)	3010
Q01094	Q01094	E2F1_HUMAN	reviewed	Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1)	E2F1 RBBP3	Homo sapiens (Human)	437
P29323	P29323	EPHB2_HUMAN	reviewed	Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5	Homo sapiens (Human)	1055
P00870	P00870	RBS1_SPIOL	reviewed	Ribulose bisphosphate carboxylase small subunit, chloroplastic 1 (RuBisCO small subunit 1)	RBCS1 RBCS	Spinacia oleracea (Spinach)	123
P0A3R9	P0A3R9	NCZS_STRCZ	reviewed	Neocarzinostatin (NCS) (Mitomalcin) (MMC)	ncsA	Streptomyces carzinostaticus	147
Q9WJM2	Q9WJM2	Q9WJM2_9HIV1	unreviewed	Integrase (Fragment)	pol	Human immunodeficiency virus 1	288
P31689	P31689	DNJA1_HUMAN	reviewed	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2)	DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4	Homo sapiens (Human)	397
A0A221ZS22	A0A221ZS22	A0A221ZS22_OSTFU	unreviewed	Group II chitinase (EC 3.2.1.14)		Ostrinia furnacalis (Asian corn borer)	2929
A0A1D5PXA5	A0A1D5PXA5	TRPV4_CHICK	reviewed	Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Vanilloid receptor-related osmotically activated channel) (VR-OAC)	TRPV4	Gallus gallus (Chicken)	852
D7U7T8	D7U7T8	D7U7T8_VITVI	unreviewed	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	VIT_15s0048g00750	Vitis vinifera (Grape)	365
P43873	P43873	ACCC_HAEIN	reviewed	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	accC HI_0972	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	448
Q06121	Q06121	TRPC_SACS2	reviewed	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC SSO0895	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	248
P49677	P49677	IAA1_ARATH	reviewed	Auxin-responsive protein IAA1 (Indoleacetic acid-induced protein 1)	IAA1 At4g14560 dl3320w FCAALL.409	Arabidopsis thaliana (Mouse-ear cress)	168
P04590	P04590	GAG_HV2RO	reviewed	Gag polyprotein (Pr55Gag) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Spacer peptide 2 (SP2) (p1); p6-gag]	gag	Human immunodeficiency virus type 2 subtype A (isolate ROD) (HIV-2)	522
P06999	P06999	PFKB_ECOLI	reviewed	ATP-dependent 6-phosphofructokinase isozyme 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (6-phosphofructokinase isozyme II) (Phosphohexokinase 2)	pfkB b1723 JW5280	Escherichia coli (strain K12)	309
A0A078SUX9	A0A078SUX9	A0A078SUX9_BACUN	unreviewed	Glycosyl hydrolases family 2, sugar binding domain protein	M094_3283	Bacteroides uniformis str. 3978 T3 ii	886
Q2YSF8	Q2YSF8	CLPP_STAAB	reviewed	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP SAB0722	Staphylococcus aureus (strain bovine RF122 / ET3-1)	195
P04150	P04150	GCR_HUMAN	reviewed	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	NR3C1 GRL	Homo sapiens (Human)	777
P0A4F8	P0A4F8	OCCT_RHIRD	reviewed	Octopine-binding periplasmic protein	occT occJ	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	276
W1EPV7	W1EPV7	W1EPV7_KLEPN	unreviewed	Beta-lactamase (EC 3.5.2.6)		Klebsiella pneumoniae IS53	291
C5GC63	C5GC63	C5GC63_AJEDR	unreviewed	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	BDCG_01946	Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis)	362
Q8RCC4	Q8RCC4	Q8RCC4_CALS4	unreviewed	ABC-type amino acid transport system, periplasmic component	ArtI TTE0512	Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Thermoanaerobacter tengcongensis)	260
Q96BN8	Q96BN8	OTUL_HUMAN	reviewed	Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby)	OTULIN FAM105B	Homo sapiens (Human)	352
Q9LLQ2	Q9LLQ2	P102B_LUPLU	reviewed	Class 10 plant pathogenesis-related protein 2B (LlPR10.2b) (Ypr-10.2b) (EC 3.1.27.-) (allergen Lup l 4)	PR10.2B	Lupinus luteus (European yellow lupine)	158
Q13639	Q13639	5HT4R_HUMAN	reviewed	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	HTR4	Homo sapiens (Human)	388
Q9YK84	Q9YK84	Q9YK84_9HEPC	unreviewed	Genome polyprotein (Fragment)		Hepacivirus C	135
P52292	P52292	IMA1_HUMAN	reviewed	Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha)	KPNA2 RCH1 SRP1	Homo sapiens (Human)	529
Q93009	Q93009	UBP7_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	USP7 HAUSP	Homo sapiens (Human)	1102
D3WZ85	D3WZ85	NAAA_BRASZ	reviewed	5-nitroanthranilic acid aminohydrolase (EC 3.5.99.8) (5-nitroanthranilic acid degradation protein A) (5NAA deaminase)	naaA	Bradyrhizobium sp.	425
Q53685	Q53685	OLED_STRAT	reviewed	Oleandomycin glycosyltransferase (EC 2.4.1.-)	oleD UGT102A2	Streptomyces antibioticus	430
F2Z508	F2Z508	F2Z508_PIG	unreviewed	Stathmin-4	STMN4	Sus scrofa (Pig)	203
P59226	P59226	H32_ARATH	reviewed	Histone H3.2 (Histone H3.1)	HTR2 At1g09200 T12M4.9; HTR3 At3g27360 K1G2.8; HTR13 At5g10390 F12B17_260; HTR9 At5g10400 F12B17_250; HTR1 At5g65360 MNA5.9	Arabidopsis thaliana (Mouse-ear cress)	136
P14350	P14350	POL_FOAMV	reviewed	Pro-Pol polyprotein (Pr125Pol) [Cleaved into: Protease/Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (EC 3.4.23.-) (p87Pro-RT-RNaseH); Protease/Reverse transcriptase (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-) (p65Pro-RT); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p42In)]	pol	Human spumaretrovirus (SFVcpz(hu)) (Human foamy virus)	1143
P30274	P30274	CCNA2_BOVIN	reviewed	Cyclin-A2 (Cyclin-A)	CCNA2	Bos taurus (Bovine)	430
B8ZYW1	B8ZYW1	GLNK2_HALMT	reviewed	Nitrogen regulatory protein GlnK2	glnK2 HFX_0092 BM92_08825 C439_09930 E6P09_03555	Haloferax mediterranei (strain ATCC 33500 / DSM 1411 / JCM 8866 / NBRC 14739 / NCIMB 2177 / R-4) (Halobacterium mediterranei)	123
P00970	P00970	DNLI_BPT4	reviewed	DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP])	30	Enterobacteria phage T4 (Bacteriophage T4)	487
Q96B97	Q96B97	SH3K1_HUMAN	reviewed	SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)	SH3KBP1 CIN85	Homo sapiens (Human)	665
P45983	P45983	MK08_HUMAN	reviewed	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C	Homo sapiens (Human)	427
P08168	P08168	ARRS_BOVIN	reviewed	S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin) [Cleaved into: S-arrestin short form]	SAG	Bos taurus (Bovine)	404
Q81VW8	Q81VW8	Q81VW8_BACAN	unreviewed	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	folP GBAA_0071	Bacillus anthracis	280
Q5X9P3	Q5X9P3	SPEB_STRP6	reviewed	Streptopain (EC 3.4.22.10) (Exotoxin type B) (SPE B) (Streptococcal cysteine proteinase) (Streptococcus peptidase A) (SPP)	speB M6_Spy1735	Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394)	398
D8NA05	D8NA05	D8NA05_RALSL	unreviewed	Putative fucose-binding lectin protein	CMR15_11270	Ralstonia solanacearum CMR15	91
G3XD30	G3XD30	PILN_PSEAE	reviewed	Type IV pilus inner membrane component PilN	pilN PA5043	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	198
A0A2R2JFS5	A0A2R2JFS5	A0A2R2JFS5_9ZZZZ	unreviewed	Beta-glucoside phosphorylase BglX		unidentified	573
Q920Q2	Q920Q2	REV1_MOUSE	reviewed	DNA repair protein REV1 (EC 2.7.7.-) (Rev1-like terminal deoxycytidyl transferase)	Rev1 Rev1l	Mus musculus (Mouse)	1249
O75843	O75843	AP1G2_HUMAN	reviewed	AP-1 complex subunit gamma-like 2 (Gamma2-adaptin) (G2ad)	AP1G2	Homo sapiens (Human)	785
P12023	P12023	A4_MOUSE	reviewed	Amyloid-beta precursor protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Amyloidogenic glycoprotein) (AG) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (APP-C99) (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (APP-C59) (Amyloid intracellular domain 59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (APP-C57) (Amyloid intracellular domain 57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AID(50)) (Gamma-CTF(50)); C31]	App A4 AD1	Mus musculus (Mouse)	770
D7UER0	D7UER0	D7UER0_9ACTN	unreviewed	Fr901277		Streptomyces resistomycificus	8
P07140	P07140	ACES_DROME	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7) [Cleaved into: Acetylcholinesterase 16 kDa subunit; Acetylcholinesterase 55 kDa subunit]	Ace CG17907	Drosophila melanogaster (Fruit fly)	649
Q96LA8	Q96LA8	ANM6_HUMAN	reviewed	Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6)	PRMT6 HRMT1L6	Homo sapiens (Human)	375
Q5HGZ3	Q5HGZ3	DEF_STAAC	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def def1 pdf1 SACOL1100	Staphylococcus aureus (strain COL)	183
P11940	P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP PABP1 PABPC2	Homo sapiens (Human)	636
P08246	P08246	ELNE_HUMAN	reviewed	Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase)	ELANE ELA2	Homo sapiens (Human)	267
Q58EU8	Q58EU8	Q58EU8_MOUSE	unreviewed	Igk protein	Igk	Mus musculus (Mouse)	239
Q9K169	Q9K169	Q9K169_NEIMB	unreviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	aroG NMB0307	Neisseria meningitidis serogroup B (strain MC58)	351
P0A080	P0A080	MAP1_STAA1	reviewed	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map SAHV_1873	Staphylococcus aureus (strain Mu3 / ATCC 700698)	252
P52298	P52298	NCBP2_HUMAN	reviewed	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit) (CBP20) (NCBP-interacting protein 1) (NIP1)	NCBP2 CBP20 PIG55	Homo sapiens (Human)	156
Q7DAU8	Q7DAU8	Q7DAU8_LACLA	unreviewed	Betaine ABC transporter permease and substrate binding protein	busAB L72477	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	573
P00959	P00959	SYM_ECOLI	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG b2114 JW2101	Escherichia coli (strain K12)	677
Q7B8P6	Q7B8P6	Q7B8P6_CAMJU	unreviewed	CmeR (Multidrug efflux system transcriptional regulator CmeR) (Transcriptional repressor)	cmeR CmeR AT778_05880 E8P16_04135 E8P16_10565 F1P94_04715 F8Y55_09710 GNO00_03935	Campylobacter jejuni	210
A0A384E0N4	A0A384E0N4	A0A384E0N4_HOMNE	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	ADSL AMPS	Homo sapiens neanderthalensis (Neanderthal)	487
Q99JX3	Q99JX3	GORS2_MOUSE	reviewed	Golgi reassembly-stacking protein 2 (GRS2) (Golgi reassembly-stacking protein of 55 kDa) (GRASP55)	Gorasp2	Mus musculus (Mouse)	451
A8IYS5	A8IYS5	A8IYS5_CHLRE	unreviewed	Septin-like protein	SEP1 CHLRE_12g556250v5 CHLREDRAFT_148151	Chlamydomonas reinhardtii (Chlamydomonas smithii)	481
C4XAX5	C4XAX5	C4XAX5_KLEPN		Deleted.			
P20917	P20917	MAG_MOUSE	reviewed	Myelin-associated glycoprotein (Siglec-4a)	Mag	Mus musculus (Mouse)	627
Q8NHV1	Q8NHV1	GIMA7_HUMAN	reviewed	GTPase IMAP family member 7 (Immunity-associated nucleotide 7 protein) (IAN-7)	GIMAP7 IAN7	Homo sapiens (Human)	300
D6R7L2	D6R7L2	D6R7L2_VIBCL	unreviewed	Cholera toxin B (Cholera toxin B subunit)	ctxB	Vibrio cholerae O1	124
P06026	P06026	CARP_RHICH	reviewed	Rhizopuspepsin (EC 3.4.23.21)		Rhizopus chinensis (Bread mold)	393
I6Y9J2	I6Y9J2	LDT2_MYCTU	reviewed	L,D-transpeptidase 2 (LDT 2) (EC 2.3.2.-) (Ldt(Mt2))	ldtB lppS Rv2518c RVBD_2518c P425_02624	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	408
Q12306	Q12306	SMT3_YEAST	reviewed	Ubiquitin-like protein SMT3	SMT3 YDR510W D9719.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101
B8XX90	B8XX90	STING_PIG	reviewed	Stimulator of interferon genes protein (poSTING) (Transmembrane protein 173)	STING1 STING TMEM173	Sus scrofa (Pig)	378
P25098	P25098	ARBK1_HUMAN	reviewed	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)	GRK2 ADRBK1 BARK BARK1	Homo sapiens (Human)	689
P17785	P17785	ANXA2_CHICK	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2	Gallus gallus (Chicken)	339
Q87GI3	Q87GI3	Q87GI3_VIBPA	unreviewed	Uncharacterized protein	VPA1333	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	161
Q9RFR0	Q9RFR0	MGS_RHOMR	reviewed	Mannosylglycerate synthase (MGS) (EC 2.4.1.269)	mgs	Rhodothermus marinus (Rhodothermus obamensis)	397
Q45075	Q45075	Q45075_BURCE	unreviewed	YCII domain-containing protein		Burkholderia cepacia (Pseudomonas cepacia)	100
P00746	P00746	CFAD_HUMAN	reviewed	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)	CFD DF PFD	Homo sapiens (Human)	253
A0A0B4JDC9	A0A0B4JDC9	A0A0B4JDC9_DROME	unreviewed	RIM-binding protein, isoform F	Rbp CG14867 CG31302 CG5143 CG5152 Dmel\CG43073 DRBP drbp RBP rbp rim-bp CG43073 Dmel_CG43073	Drosophila melanogaster (Fruit fly)	1844
D0VX20	D0VX20	D0VX20_SERPL	unreviewed	Sucrose isomerase SmuA from Protaminobacter rubrum (EC 5.4.99.11)	smuA	Serratia plymuthica	558
B7MFQ9	B7MFQ9	RLMH_ECO45	reviewed	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH ECS88_0678	Escherichia coli O45:K1 (strain S88 / ExPEC)	155
Q62760	Q62760	TOM20_RAT	reviewed	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	Tomm20	Rattus norvegicus (Rat)	145
P0A9A6	P0A9A6	FTSZ_ECOLI	reviewed	Cell division protein FtsZ	ftsZ sfiB sulB b0095 JW0093	Escherichia coli (strain K12)	383
B0SWV2	B0SWV2	B0SWV2_CAUSK	unreviewed	Mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113)	Caul_4035	Caulobacter sp. (strain K31)	462
P02458	P02458	CO2A1_HUMAN	reviewed	Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin]	COL2A1	Homo sapiens (Human)	1487
Q9VE13	Q9VE13	Q9VE13_DROME	unreviewed	Wiskott-Aldrich syndrome protein family member (WASP family protein member)	gukh anon-WO0118547.205 CG14287 CG14288 CG5456 CG6003 Dmel\CG31043 GUKH GUKh GukH Gukh CG31043 Dmel_CG31043	Drosophila melanogaster (Fruit fly)	1788
Q86TU7	Q86TU7	SETD3_HUMAN	reviewed	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3) (hSETD3)	SETD3 C14orf154	Homo sapiens (Human)	594
C1KIK8	C1KIK8	C1KIK8_9HEPC	unreviewed	Genome polyprotein (Fragment)		Hepacivirus C	181
