yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
4fab,1flr	P01865	GCAM_MOUSE	reviewed	Ig gamma-2A chain C region, membrane-bound form	Igh-1a	Mus musculus (Mouse)	398
1cbr	P62965	RABP1_MOUSE	reviewed	Cellular retinoic acid-binding protein 1 (Cellular retinoic acid-binding protein I) (CRABP-I)	Crabp1	Mus musculus (Mouse)	137
1utr	P17559	UTER_RAT	reviewed	Uteroglobin (Clara cell phospholipid-binding protein) (CCPBP) (Clara cells 10 kDa secretory protein) (CC10) (PCB-binding protein) (Secretoglobin family 1A member 1)	Scgb1a1 Cc10 Ugb Utg	Rattus norvegicus (Rat)	96
1sps,1lcj	P03079	MT_POVHA	reviewed	Middle T antigen (MT) (MT-AG)		Hamster polyomavirus (HaPyV) (Mesocricetus auratus polyomavirus 1)	401
1pgp	P00349	6PGD_SHEEP	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD	Ovis aries (Sheep)	483
2gyi	P15587	XYLA_STROL	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA	Streptomyces olivochromogenes	387
1pdz	P56252	ENO_HOMGA	reviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)		Homarus gammarus (European lobster) (Homarus vulgaris)	433
1tpw	P00940	TPIS_CHICK	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	TPI1	Gallus gallus (Chicken)	248
1els,1ebg	P00924	ENO1_YEAST	reviewed	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	ENO1 ENOA HSP48 YGR254W G9160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437
1hdt	P28509	HIR3_HIRME	reviewed	Hirudin-3 (Hirudin III)		Hirudo medicinalis (Medicinal leech)	65
1csi,1csh,1css,1csr	P23007	CISY_CHICK	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	CS	Gallus gallus (Chicken)	433
1qca	P00484	CAT3_ECOLX	reviewed	Chloramphenicol acetyltransferase 3 (EC 2.3.1.28) (Chloramphenicol acetyltransferase III) (CAT-III)	cat3	Escherichia coli	213
1gym	P14262	PLC_BACCE	reviewed	1-phosphatidylinositol phosphodiesterase (EC 4.6.1.13) (Phosphatidylinositol diacylglycerol-lyase) (Phosphatidylinositol-specific phospholipase C) (PI-PLC)		Bacillus cereus	329
1inh,1ing	P06820	NRAM_I67A0	reviewed	Neuraminidase (EC 3.2.1.18)	NA	Influenza A virus (strain A/Tokyo/3/1967 H2N2)	469
1qwf,1qwe	P00525	SRC_AVISR	reviewed	Tyrosine-protein kinase transforming protein Src (EC 2.7.10.2) (pp60v-src) (p60-Src) (v-Src)	V-SRC	Avian sarcoma virus (strain rASV1441)	526
1dar	Q5SHN5	EFG_THET8	reviewed	Elongation factor G (EF-G)	fusA fus TTHA1695	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	691
1mai	P10688	PLCD1_RAT	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)	Plcd1	Rattus norvegicus (Rat)	756
1pot	P0AFK9	POTD_ECOLI	reviewed	Spermidine/putrescine-binding periplasmic protein (SPBP)	potD b1123 JW1109	Escherichia coli (strain K12)	348
1btn	Q62261	SPTB2_MOUSE	reviewed	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Embryonic liver fodrin) (Fodrin beta chain)	Sptbn1 Elf Spnb-2 Spnb2 Sptb2	Mus musculus (Mouse)	2363
1swi	P03069	GCN4_YEAST	reviewed	General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)	GCN4 AAS101 AAS3 ARG9 YEL009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281
1cyn	P23284	PPIB_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB	Homo sapiens (Human)	216
2csm	P32178	CHMU_YEAST	reviewed	Chorismate mutase (CM) (EC 5.4.99.5)	ARO7 OSM2 YPR060C YP9499.15C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	256
9icd,1grp	P08200	IDH_ECOLI	reviewed	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd icdA icdE b1136 JW1122	Escherichia coli (strain K12)	416
1agm,1gai,1gah	P69327	AMYG_ASPAW	reviewed	Glucoamylase (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	GLAA	Aspergillus awamori (Black koji mold)	640
2csn	P40233	CKI1_SCHPO	reviewed	Casein kinase I homolog 1 (EC 2.7.11.1)	cki1 SPBC1347.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	446
1rdn,1rdj,1rdl,1rdi	P08661	MBL2_RAT	reviewed	Mannose-binding protein C (MBP-C) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28A) (RaRF p28A)	Mbl2	Rattus norvegicus (Rat)	244
1siv,1tcw	P05896	POL_SIVM1	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Nucleocapsid protein p7 (NC); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pol	Simian immunodeficiency virus (isolate Mm142-83) (SIV-mac) (Simian immunodeficiency virus rhesus monkey)	1448
1jlx	Q71QF2	Q71QF2_AMACA	unreviewed	Agglutinin		Amaranthus caudatus (Love-lies-bleeding) (Inca-wheat)	304
1atl,1dth	P15167	VM1AD_CROAT	reviewed	Snake venom metalloproteinase atrolysin-D (SVMP) (EC 3.4.24.42) (Hemorrhagic metalloproteinase atrolysin D) (Hemorrhagic toxin D) (HT-D)		Crotalus atrox (Western diamondback rattlesnake)	414
1rbo	P00870	RBS1_SPIOL	reviewed	Ribulose bisphosphate carboxylase small subunit, chloroplastic 1 (RuBisCO small subunit 1)	RBCS1 RBCS	Spinacia oleracea (Spinach)	123
1rbo	P00875	RBL_SPIOL	reviewed	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Spinacia oleracea (Spinach)	475
1drv	P04036	DAPB_ECOLI	reviewed	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB b0031 JW0029	Escherichia coli (strain K12)	273
1ao0	P00497	PUR1_BACSU	reviewed	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF BSU06490	Bacillus subtilis (strain 168)	476
1ag9	P61949	FLAV_ECOLI	reviewed	Flavodoxin 1 (Flavodoxin A)	fldA b0684 JW0671	Escherichia coli (strain K12)	176
1aqj,2adm,1aqi	P14385	MTTA_THEAQ	reviewed	Type II methyltransferase M.TaqI (M.TaqI) (EC 2.1.1.72) (Adenine-specific methyltransferase TaqI) (Modification methylase TaqI)	taqIM	Thermus aquaticus	421
1gbq,3gbq	Q60631	GRB2_MOUSE	reviewed	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (SH2/SH3 adapter GRB2)	Grb2	Mus musculus (Mouse)	217
1gbq,3gbq	Q62245	SOS1_MOUSE	reviewed	Son of sevenless homolog 1 (SOS-1) (mSOS-1)	Sos1	Mus musculus (Mouse)	1319
2mas	Q27546	IUNH_CRIFA	reviewed	Inosine-uridine preferring nucleoside hydrolase (IU-NH) (IU-nucleoside hydrolase) (EC 3.2.2.2) (EC 3.2.2.3) (Non-specific nucleoside hydrolase)	IUNH	Crithidia fasciculata	315
2aac	P0A9E0	ARAC_ECOLI	reviewed	Arabinose operon regulatory protein (HTH-type transcriptional regulator AraC)	araC b0064 JW0063	Escherichia coli (strain K12)	292
1irs	P24394	IL4RA_HUMAN	reviewed	Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124) [Cleaved into: Soluble interleukin-4 receptor subunit alpha (Soluble IL-4 receptor subunit alpha) (Soluble IL-4R-alpha) (sIL4Ralpha/prot) (IL-4-binding protein) (IL4-BP)]	IL4R IL4RA 582J2.1	Homo sapiens (Human)	825
1nox	Q60049	NOX_THET8	reviewed	NADH dehydrogenase (EC 7.1.1.2) (H(2)O(2)-forming NADH oxidase) (NADH:oxygen oxidoreductase)	nox TTHA0425	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	205
1lfo	P02692	FABPL_RAT	reviewed	Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP) (Squalene- and sterol-carrier protein) (SCP) (Z-protein) (p14)	Fabp1	Rattus norvegicus (Rat)	127
1ctu,1ctt,1af2	P0ABF6	CDD_ECOLI	reviewed	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	cdd b2143 JW2131	Escherichia coli (strain K12)	294
1dub	P14604	ECHM_RAT	reviewed	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)	Echs1	Rattus norvegicus (Rat)	290
1fwe	P18314	URE1_KLEAE	reviewed	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC	Klebsiella aerogenes (Enterobacter aerogenes)	567
1fwe	P18315	URE2_KLEAE	reviewed	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	ureB	Klebsiella aerogenes (Enterobacter aerogenes)	106
1fwe	P18316	URE3_KLEAE	reviewed	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	ureA	Klebsiella aerogenes (Enterobacter aerogenes)	100
1al7,1al8	P05414	GOX_SPIOL	reviewed	Glycolate oxidase (GAO) (GOX) (EC 1.1.3.15) (Short chain alpha-hydroxy acid oxidase)		Spinacia oleracea (Spinach)	369
1ajq,1ai7,1ai6,1ai5,1ajn,1ai4,1ajp	P06875	PAC_ECOLX	reviewed	Penicillin G acylase (EC 3.5.1.11) (Penicillin G amidase) (Penicillin G amidohydrolase) [Cleaved into: Penicillin G acylase subunit alpha; Penicillin G acylase subunit beta]	pac	Escherichia coli	846
4aig,2aig,3aig	P34179	VM12_CROAD	reviewed	Snake venom metalloproteinase adamalysin-2 (SVMP) (EC 3.4.24.46) (Adamalysin II) (Proteinase II)		Crotalus adamanteus (Eastern diamondback rattlesnake)	203
1a5v	O92956	POL_RSVSB	reviewed	Gag-Pol polyprotein [Cleaved into: Matrix protein p19; p2A; p2B; p10; Capsid protein p27, alternate cleaved 1; Capsid protein p27, alternate cleaved 2; p3; Nucleocapsid protein p12; Protease p15 (EC 3.4.23.-); Reverse transcriptase beta-subunit (RT-beta); Reverse transcriptase alpha-subunit (RT-alpha) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (pp32); p4]	gag-pol	Rous sarcoma virus (strain Schmidt-Ruppin B) (RSV-SRB)	1603
1bcj	P19999	MBL1_RAT	reviewed	Mannose-binding protein A (MBP-A) (Mannan-binding protein)	Mbl1	Rattus norvegicus (Rat)	238
1aqc,1x11	Q02410	APBA1_HUMAN	reviewed	Amyloid-beta A4 precursor protein-binding family A member 1 (Adapter protein X11alpha) (Neuron-specific X11 protein) (Neuronal Munc18-1-interacting protein 1) (Mint-1)	APBA1 MINT1 X11	Homo sapiens (Human)	837
1wdn	P0AEQ3	GLNH_ECOLI	reviewed	Glutamine-binding periplasmic protein (GlnBP)	glnH b0811 JW0796	Escherichia coli (strain K12)	248
1af6	P02943	LAMB_ECOLI	reviewed	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)	lamB malB b4036 JW3996	Escherichia coli (strain K12)	446
1axs	Q7Z3Y4	Q7Z3Y4_HUMAN	unreviewed	Uncharacterized protein		Homo sapiens (Human)	236
4tmk,5tmp	P0A720	KTHY_ECOLI	reviewed	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	tmk ycfG b1098 JW1084	Escherichia coli (strain K12)	213
1a0t	P22340	SCRY_SALTM	reviewed	Sucrose porin	scrY	Salmonella typhimurium	505
1awi	P07737	PROF1_HUMAN	reviewed	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	PFN1	Homo sapiens (Human)	140
1tbz	P28505	HIR2P_HIRME	reviewed	Hirudin-2' (Hirudin II')		Hirudo medicinalis (Medicinal leech)	65
1alw	P04574	CPNS1_PIG	reviewed	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	CAPNS1 CAPN4	Sus scrofa (Pig)	266
1ilq	P10145	IL8_HUMAN	reviewed	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	CXCL8 IL8	Homo sapiens (Human)	99
1ilq	P25024	CXCR1_HUMAN	reviewed	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)	CXCR1 CMKAR1 IL8RA	Homo sapiens (Human)	350
6cgt	P30920	CDGT1_NIACI	reviewed	Cyclomaltodextrin glucanotransferase (EC 2.4.1.19) (Cyclodextrin-glycosyltransferase) (CGTase)		Niallia circulans (Bacillus circulans)	718
1bjr	P06873	PRTK_PARAQ	reviewed	Proteinase K (EC 3.4.21.64) (Endopeptidase K) (Tritirachium alkaline proteinase)	PROK	Parengyodontium album (Tritirachium album)	384
3jdw	P50440	GATM_HUMAN	reviewed	Glycine amidinotransferase, mitochondrial (EC 2.1.4.1) (L-arginine:glycine amidinotransferase) (Transamidinase)	GATM AGAT	Homo sapiens (Human)	423
1lox	P12530	LOX15_RABIT	reviewed	Polyunsaturated fatty acid lipoxygenase ALOX15 (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (L-12LO) (EC 1.13.11.31) (Arachidonate 15-lipoxygenase) (15-LOX) (EC 1.13.11.33) (Arachidonate omega-6 lipoxygenase) (Erythroid cell-specific 15-lipoxygenase) (Hepoxilin A3 synthase Alox15) (EC 1.13.11.-) (Linoleate 13S-lipoxygenase) (EC 1.13.11.12)	ALOX15	Oryctolagus cuniculus (Rabbit)	663
16pk	P07378	PGKC_TRYBB	reviewed	Phosphoglycerate kinase, glycosomal (Phosphoglycerate kinase C) (EC 2.7.2.3)		Trypanosoma brucei brucei	440
1bq3,1bq4	P00950	PMG1_YEAST	reviewed	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	GPM1 GPM YKL152C YKL607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	247
1ppm,1ppl,1apw,1apv,1ppk,1bxo,2wed,2wec,1bxq,2web	P00798	PEPA1_PENJA	reviewed	Penicillopepsin-1 (EC 3.4.23.20) (Aspartic protease) (Peptidase A)		Penicillium janthinellum (Penicillium vitale)	323
1aw1	P50921	TPIS_MORMI	reviewed	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tim tpi	Moritella marina (Vibrio marinus)	256
1ppi,1pig,1jfh	P00690	AMYP_PIG	reviewed	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	AMY2	Sus scrofa (Pig)	511
1add,2ada,1fkw,1a4m	P03958	ADA_MOUSE	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	Ada	Mus musculus (Mouse)	352
1c3r	O67135	O67135_AQUAE	unreviewed	Acetoin utilization protein AcuC	acuC1 aq_1023	Aquifex aeolicus (strain VF5)	375
2cbr	P62964	RABP1_BOVIN	reviewed	Cellular retinoic acid-binding protein 1 (Cellular retinoic acid-binding protein I) (CRABP-I)	CRABP1	Bos taurus (Bovine)	137
1a4g,1a4q	P27907	NRAM_INBBE	reviewed	Neuraminidase (EC 3.2.1.18)	NA	Influenza B virus (strain B/Beijing/1/1987)	465
1bug	Q9ZP19	PPO1_IPOBA	reviewed	Polyphenol oxidase I, chloroplastic (PPO-I) (EC 1.10.3.1) (Catechol oxidase I)	co-1	Ipomoea batatas (Sweet potato) (Convolvulus batatas)	496
3znc	Q64444	CAH4_MOUSE	reviewed	Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV)	Ca4 Car4	Mus musculus (Mouse)	305
1c5f	Q27450	CYP1_BRUMA	reviewed	Peptidyl-prolyl cis-trans isomerase 1 (PPIase 1) (EC 5.2.1.8) (BmCYP-1) (Cyclophilin) (Rotamase 1)	CYP-1	Brugia malayi (Filarial nematode worm)	843
1bkj	Q56691	FRP_VIBHA	reviewed	NADPH-flavin oxidoreductase (EC 1.5.1.38) (Flavin reductase P) (NADPH-FMN oxidoreductase)	frp	Vibrio harveyi (Beneckea harveyi)	240
3gst,2gst,5fwg	P04905	GSTM1_RAT	reviewed	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST 3-3) (GSTM1-1) (Glutathione S-transferase Yb-1) (GST Yb1)	Gstm1	Rattus norvegicus (Rat)	218
2a2g	P02761	MUP_RAT	reviewed	Major urinary protein (MUP) (Allergen Rat n I) (Alpha(2)-euglobulin) (Alpha-2u-globulin) (alpha-2u globulin PGCL1) (allergen Rat n 1) [Cleaved into: 15.5 kDa fatty acid-binding protein (15.5 kDa FABP)]		Rattus norvegicus (Rat)	181
1a4r	P60953	CDC42_HUMAN	reviewed	Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein)	CDC42	Homo sapiens (Human)	191
1rpj	P39265	ALSB_ECOLI	reviewed	D-allose-binding periplasmic protein (ALBP)	alsB yjcX b4088 JW4049	Escherichia coli (strain K12)	311
1dbb,1dbj,2dbl,1dbk,1kel,1ct8	P01868	IGHG1_MOUSE	reviewed	Ig gamma-1 chain C region secreted form	Ighg1 Igh-4	Mus musculus (Mouse)	324
2bow	P39075	BMRR_BACSU	reviewed	Multidrug-efflux transporter 1 regulator	bmrR bmr1R BSU24020	Bacillus subtilis (strain 168)	278
3tmk	P00572	KTHY_YEAST	reviewed	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	CDC8 YJR057W J1715	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216
1d2e	P49410	EFTU_BOVIN	reviewed	Elongation factor Tu, mitochondrial (EF-Tu)	TUFM	Bos taurus (Bovine)	452
3kiv	P08519	APOA_HUMAN	reviewed	Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-)	LPA	Homo sapiens (Human)	2040
1qsc	Q12933	TRAF2_HUMAN	reviewed	TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3)	TRAF2 TRAP3	Homo sapiens (Human)	501
1sm3	P01723	LV1A_MOUSE	reviewed	Ig lambda-1 chain V region		Mus musculus (Mouse)	117
1bt6	P17785	ANXA2_CHICK	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2	Gallus gallus (Chicken)	339
1bt6	P60903	S10AA_HUMAN	reviewed	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100A10 ANX2LG CAL1L CLP11	Homo sapiens (Human)	97
1dis,1ao8,1bzf	P00381	DYR_LACCA	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	folA dhfR	Lactobacillus casei	163
2ay3,2ay6,2ay4,2ay2,2ay5,2ay7,2ay1,2ay8,2ay9	P95468	TYRB_PARDE	reviewed	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57)	tyrB	Paracoccus denitrificans	394
1aze	P26675	SOS_DROME	reviewed	Protein son of sevenless	Sos CG7793	Drosophila melanogaster (Fruit fly)	1596
1qaw	Q9X6J6	MTRB_GEOSE	reviewed	Transcription attenuation protein MtrB (Trp RNA-binding attenuation protein) (TRAP) (Tryptophan RNA-binding attenuator protein)	mtrB	Geobacillus stearothermophilus (Bacillus stearothermophilus)	74
1mpa,2mpa	Q569X1	Q569X1_MOUSE	unreviewed	Ighg protein	Ighg	Mus musculus (Mouse)	476
2mpa	E6MXW0	OMPA_NEIMH	reviewed	Major outer membrane protein P.IA (PIA) (Protein IA) (Class 1 protein)	porA NMBH4476_0791 NMH_1198	Neisseria meningitidis serogroup B / serotype 15 (strain H44/76)	392
